,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
900,CN2393,国证地产R,50,3967.7291,-0.0209,9.7501,32002.89787,173.0822787777,8230.547229976999,3458.5674539694
901,CN2394,国证医药R,80,10143.8285,0.0004,24.9169,13528.91759,343.79402834169997,35263.8780317787,17493.6993236185
902,CN2395,国证有色R,50,6492.6011,-0.0088,17.3047,28633.89624,318.2027206564,20701.504642836,11403.6349585329
903,CN2396,国证食品R,50,28648.8949,0.0004,25.6439,6664.86521,280.21583536369997,51646.812838902406,14388.9151521154
904,CN2397,国证文化R,50,2097.9379,-0.0085,25.6571,29615.44658,310.3925800086,18295.8411761447,7883.2623641285
905,CN2398,绩效指数R,100,16704.6801,0.001,20.0406,21572.14113,560.5393348908999,92158.6265129764,940.2957086141
906,CN2399,中经GDPR,300,9131.9665,-0.0051,12.5402,142324.83728,1944.492893735,278318.6562141172,78862.2678420166
907,CN2400,大中盘R,500,4597.6899,-0.0045,12.6456,266078.65037,3761.4457798322996,476599.02200234146,196165.7698927944
908,CN2401,中小盘R,800,4366.4614,-0.0053,18.7081,268474.17228,3058.173106373,204024.71144228827,98043.9772025266
909,CN2402,周期100R,100,3949.3985,-0.0117,14.217,76802.20105,1061.9780092900999,141800.2694811185,56074.1558369857
910,CN2403,防御100R,100,9703.2494,-0.0024,25.5945,27759.97201,680.4096348784,96192.64959198971,38486.8788264725
911,CN2404,大盘低波R,50,9968.3918,0.0039,9.1523,47951.58212,488.7604720351,131496.8787457477,4374.4551566654
912,CN2405,大盘高贝R,50,2548.1827,-0.0137,12.5607,51303.52145,864.0965653128999,92597.15162507471,5690.972516472701
913,CN2406,中盘低波R,100,16396.3524,-0.0012,14.4378,53582.69593,414.9766766078,39758.638248281204,4334.4741080323
914,CN2407,中盘高贝R,100,2185.0841,-0.0071,23.0589,32759.50614,632.3838273235,34457.547821512206,5692.8029683469995
915,CN2408,小盘低波R,150,17225.2545,-0.0049,15.7737,50792.87377,302.5501441546,27400.173587550697,3055.900846052
916,CN2409,小盘高贝R,150,4353.4454,-0.0157,30.3824,45715.19537,621.2333209101,25604.2426772795,2104.7093055823
917,CN2410,苏州率先R,30,1869.4201,-0.0059,19.6383,6112.40122,117.316875322,6518.4879034203,3685.9542310888
918,CN2411,红利100R,100,5686.3952,0.0034,6.7899,57380.02348,504.9553169496,101619.38341864689,1153.4611306072
919,CN2412,国证新能R,50,2380.0177,-0.0166,15.2495,22202.03892,393.11863359989997,39963.5229300419,18610.373204476
920,CN2415,I100R,100,6480.0243,-0.0007,11.4707,61208.60861,1053.1725233433,205804.61298615398,1489.915817972
